"rules","support","confidence","coverage","lift","count"
"{Low.Hpa.=[824.6,1018)} => {Rain=No}",0.186229508196721,0.632516703786192,0.294426229508197,0.923050692128174,284
"{Avg_Temp=[-31,18.7)} => {Rain=No}",0.196065573770492,0.630801687763713,0.310819672131148,0.920547917549916,299
"{Humidity_High=[31,81)} => {Rain=No}",0.302295081967213,0.966457023060797,0.312786885245902,1.4103798661892,461
"{Dewpoint_High=[15.9,22.4]} => {Rain=Yes}",0.229508196721311,0.680933852140078,0.337049180327869,2.16338359273671,350
"{Dewpoint_low=[11,15.9]} => {Rain=Yes}",0.207213114754098,0.613592233009709,0.337704918032787,1.94943365695793,316
"{Humidity_Low=[47,90]} => {Rain=Yes}",0.182295081967213,0.527514231499051,0.345573770491803,1.67595667299178,278
"{Humidity_High=[90,99]} => {Rain=Yes}",0.217049180327869,0.609576427255985,0.356065573770492,1.93667510742787,331
"{Windspeed_High=[20.6,28.5)} => {Rain=No}",0.205245901639344,0.649377593360996,0.316065573770492,0.947656296531597,313
"{Low_Temp=[-40,14.6)} => {Rain=No}",0.277377049180328,0.87396694214876,0.317377049180328,1.27540630313575,423
"{Humidity_Low=[38,47)} => {Rain=No}",0.224918032786885,0.7,0.321311475409836,1.02153110047847,343
"{Windspeed_Avg=[0,3)} => {Rain=No}",0.241311475409836,0.736,0.327868852459016,1.07406698564593,368
"{Dewpoint_High=[7.3,13.4)} => {Rain=No}",0.319344262295082,0.972055888223553,0.328524590163934,1.41855045889083,487
"{High.Hpa.=[849.3,1023)} => {Rain=No}",0.211147540983607,0.642714570858283,0.328524590163934,0.937932746946299,322
"{Windspeed_High=[0,20.6)} => {Rain=No}",0.250491803278689,0.760956175298805,0.329180327868852,1.11048628452696,382
"{Dewpoint_low=[8.5,11)} => {Rain=No}",0.24655737704918,0.749003984063745,0.329180327868852,1.09304409157628,376
"{Windspeed_Avg=[3,5.6)} => {Rain=No}",0.215081967213115,0.650793650793651,0.330491803278689,0.949722791828055,328
"{Humidity_High=[81,90)} => {Rain=No}",0.243934426229508,0.736633663366337,0.331147540983607,1.07499170969729,372
"{High_Temp=[16,23.8)} => {Rain=No}",0.20327868852459,0.612648221343874,0.331803278688525,0.894056016793691,310
"{High_Temp=[23.8,25.4)} => {Rain=No}",0.205245901639344,0.618577075098814,0.331803278688525,0.90270817179492,313
"{Dewpoint_low=[-42.4,8.5)} => {Rain=No}",0.308196721311475,0.925196850393701,0.333114754098361,1.35016765248842,470
"{Humidity_Low=[4,38)} => {Rain=No}",0.297049180327869,0.891732283464567,0.333114754098361,1.3013318012282,453
"{Dewpoint_High=[13.4,15.9)} => {Rain=No}",0.258360655737705,0.772549019607843,0.334426229508197,1.12740407167652,394
"{Avg_Temp=[20,26.4]} => {Rain=No}",0.279344262295082,0.835294117647059,0.334426229508197,1.21896988460456,426
"{High_Temp=[25.4,30.3]} => {Rain=No}",0.27672131147541,0.82261208576998,0.336393442622951,1.200462613205,422
"{Low_Temp=[14.6,15.9)} => {Rain=No}",0.205901639344262,0.612085769980507,0.336393442622951,0.893235214564854,314
"{Low.Hpa.=[1020,1026]} => {Rain=No}",0.260327868852459,0.772373540856031,0.337049180327869,1.12714799024445,397
"{Windspeed_Avg=[5.6,18.5]} => {Rain=No}",0.228852459016393,0.669865642994242,0.341639344262295,0.97755512494375,349
"{Low_Temp=[15.9,26.3]} => {Rain=No}",0.201967213114754,0.583333333333333,0.346229508196721,0.851275917065391,308
"{Avg_Temp=[18.7,20)} => {Rain=No}",0.20983606557377,0.591497227356747,0.354754098360656,0.86318973370243,320
"{Windspeed_High=[28.5,59.7]} => {Rain=No}",0.229508196721311,0.646950092421442,0.354754098360656,0.944113771237032,350
"{Low.Hpa.=[1018,1020)} => {Rain=No}",0.238688524590164,0.647686832740214,0.368524590163934,0.945188918592178,364
"{High.Hpa.=[1024,1100]} => {Rain=No}",0.304262295081967,0.763157894736842,0.398688524590164,1.11369932007051,464
"{Dewpoint_High=[7.3,13.4),Humidity_High=[31,81)} => {Rain=No}",0.23344262295082,0.988888888888889,0.236065573770492,1.443115364168,356
"{Dewpoint_low=[-42.4,8.5),Humidity_High=[31,81)} => {Rain=No}",0.19672131147541,0.980392156862745,0.200655737704918,1.43071582700066,300
"{Humidity_High=[31,81),Humidity_Low=[4,38)} => {Rain=No}",0.180983606557377,0.971830985915493,0.186229508196721,1.41822225217333,276
"{Dewpoint_High=[15.9,22.4],Dewpoint_low=[11,15.9]} => {Rain=Yes}",0.179016393442623,0.70360824742268,0.254426229508197,2.23542203608247,273
"{Dewpoint_High=[15.9,22.4],Humidity_High=[90,99]} => {Rain=Yes}",0.185573770491803,0.693627450980392,0.267540983606557,2.20371221405229,283
"{Low_Temp=[-40,14.6),Dewpoint_High=[7.3,13.4)} => {Rain=No}",0.192131147540984,0.973421926910299,0.197377049180328,1.42054396032364,293
"{Windspeed_High=[0,20.6),Windspeed_Avg=[0,3)} => {Rain=No}",0.201311475409836,0.777215189873418,0.259016393442623,1.13421355459996,307
"{Dewpoint_High=[7.3,13.4),Dewpoint_low=[-42.4,8.5)} => {Rain=No}",0.222295081967213,0.982608695652174,0.226229508196721,1.4339504888704,339
"{Dewpoint_High=[7.3,13.4),Humidity_Low=[4,38)} => {Rain=No}",0.182950819672131,0.99288256227758,0.184262295081967,1.44894345212757,279
"{Dewpoint_low=[-42.4,8.5),Humidity_Low=[4,38)} => {Rain=No}",0.253770491803279,0.930288461538462,0.272786885245902,1.35759799411115,387
"{High_Temp=[25.4,30.3],Dewpoint_low=[-42.4,8.5)} => {Rain=No}",0.192131147540984,0.93015873015873,0.20655737704918,1.35740867319815,293
"{Avg_Temp=[20,26.4],Humidity_Low=[4,38)} => {Rain=No}",0.187540983606557,0.888198757763975,0.211147540983607,1.29617522066035,286
"{High_Temp=[25.4,30.3],Humidity_Low=[4,38)} => {Rain=No}",0.228196721311475,0.885496183206107,0.257704918032787,1.29223127214288,348
"{High_Temp=[25.4,30.3],Avg_Temp=[20,26.4]} => {Rain=No}",0.220983606557377,0.866323907455013,0.255081967213115,1.26425259221904,337
"{High.Hpa.=[1024,1100],Low.Hpa.=[1020,1026]} => {Rain=No}",0.245245901639344,0.775933609958506,0.316065573770492,1.13234330639878,374
"{Windspeed_High=[28.5,59.7],Windspeed_Avg=[5.6,18.5]} => {Rain=No}",0.177704918032787,0.696658097686375,0.255081967213115,1.01665416169543,271
"{High_Temp=[25.4,30.3],Dewpoint_low=[-42.4,8.5),Humidity_Low=[4,38)} => {Rain=No}",0.19016393442623,0.92948717948718,0.204590163934426,1.35642865906024,290
"{High_Temp=[25.4,30.3],Avg_Temp=[20,26.4],Humidity_Low=[4,38)} => {Rain=No}",0.180327868852459,0.892857142857143,0.201967213114754,1.30297334244703,275
